"record_id","headword","headword_raw","headword_normalized","homonym_number","classification","classification_family","translation_raw","sense_count","senses_json","example_count","examples_json","variant_count","variants_json","comments_raw","source_code","source_document","page_start","page_end","transcription_status","publication_status","validation_status"
"RD-000016","Acáchura","Acáchura","acachura","","S","S","1. Abuela paterna 2. Nieta (de la abuela paterna)","2","[""Abuela paterna"",""Nieta (de la abuela paterna)""]","1","[""Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).""]","0","[]","Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).","SRC-02","DICCIONARIO raramuri.pdf","3","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000017","Acahui","Acahui","acahui","","Vt","Vt","Salar","1","[""Salar""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000018","Acajihua","Acajihua","acajihua","","S","S","Correa","1","[""Correa""]","1","[""Acajihua ma su'rari, ya se soltó la correa del huarache.""]","0","[]","Acajihua ma su'rari, ya se soltó la correa del huarache.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000019","Acajihua","Acajihua","acajihua","","Vr","Vr","Ponerse correas a los huaraches","1","[""Ponerse correas a los huaraches""]","1","[""Nijé acajíhuara, mis correas""]","0","[]","Nijé acajíhuara, mis correas","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000020","Acami","Acami","acami","","Adj sing","Adj","Vivo","1","[""Vivo""]","1","[""Abijí acami ju cochí, todavía está vivo el perro.""]","0","[]","Abijí acami ju cochí, todavía está vivo el perro.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000021","Acaná","Acaná","acana","","Adv","Adv","Boca abajo","1","[""Boca abajo""]","1","[""Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!""]","0","[]","Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000022","Acánami","Acánami","acanami","","Pp","Pp","Aliviado (de pie, brazo, etc.), sano así","1","[""Aliviado (de pie, brazo, etc.), sano así""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000023","Acará","1Acará","acara","1","Vt","Vt","Herrar","1","[""Herrar""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000024","Acará","2Acará","acara","2","S","S","Rostro","1","[""Rostro""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000025","Acha","Acha","acha","","Adv","Adv","¿Acaso…? (solo se usa en preguntas)","1","[""¿Acaso…? (solo se usa en preguntas)""]","1","[""¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?""]","0","[]","¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000026","Achá","Achá","acha","","Vt","Vt","Poner (una sola cosa o persona), colocar","1","[""Poner (una sola cosa o persona), colocar""]","1","[""Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]""]","1","[""pl.: muchuhua""]","Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000027","Achagó","Achagó","achago","","S","S","Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas)","1","[""Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas)""]","1","[""Achagóachi, lugar donde hay esa mata.""]","0","[]","Achagóachi, lugar donde hay esa mata.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000028","Achapa","Achapa","achapa","","Vt","Vt","Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.","1","[""Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000029","'Aché","'Aché","'ache","","Vi","Vi","Atiesarse (de frío), morirse (de frío)","1","[""Atiesarse (de frío), morirse (de frío)""]","1","[""Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.""]","0","[]","Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000030","Achí","Achí","achi","","Vt","Vt","Reír, sonreír","1","[""Reír, sonreír""]","1","[""Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.""]","0","[]","Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000031","Achíami","Achíami","achiami","","Adj","Adj","Risueño","1","[""Risueño""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000032","Achigó yiri ju","Achigó yiri ju","achigo yiri ju","","","Sin clasificar","Es igual","1","[""Es igual""]","1","[""Véase néchigo""]","0","[]","Véase néchigo","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000033","Achigórigá","Achigórigá","achigoriga","","Adv","Adv","De la misma manera, así también","1","[""De la misma manera, así también""]","1","[""Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.""]","0","[]","Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000034","A'huí","A'huí","a'hui","","Vi","Vi","Brotar, nacer o germinar (semillas)","1","[""Brotar, nacer o germinar (semillas)""]","1","[""[pret.: a'huiri, fut.: a'huimea]""]","1","[""pret.: a'huiri, fut.: a'huimea""]","[pret.: a'huiri, fut.: a'huimea]","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000035","Ahuínari","Ahuínari","ahuinari","","Adv pl","Adv","Solos","1","[""Solos""]","1","[""[sing.: bi'neri]""]","1","[""sing.: bi'neri""]","[sing.: bi'neri]","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000036","A'huínari","A'huínari","a'huinari","","Adv","Adv","Aparte","1","[""Aparte""]","1","[""Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.""]","0","[]","Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000037","Ajó","1Ajó","ajo","1","Vt","Vt","Desgranar maíz","1","[""Desgranar maíz""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","4","4","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000038","Ajó","2Ajó","ajo","2","S","S","Mosquito, zancudo","1","[""Mosquito, zancudo""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000039","A'lara","A'lara","a'lara","","Vt","Vt","Mejorar, arreglar, preparar","1","[""Mejorar, arreglar, preparar""]","1","[""Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara""]","1","[""véase ca'rara""]","Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000040","Alimuri","Alimuri","alimuri","","S","S","Decalitro","1","[""Decalitro""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000041","Amá","Amá","ama","","S","S","Hígado","1","[""Hígado""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000042","Amaré","Amaré","amare","","Vi","Vi","Tener hígado","1","[""Tener hígado""]","1","[""Huáasi amará, hígado de vaca""]","0","[]","Huáasi amará, hígado de vaca","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000043","Amachí","Amachí","amachi","","Vt","Vt","Rezar","1","[""Rezar""]","1","[""Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.""]","0","[]","Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000044","Amachícarahuami","Amachícarahuami","amachicarahuami","","Adj","Adj","Perteneciente a la acción de rezar","1","[""Perteneciente a la acción de rezar""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000045","Amarú","Amarú","amaru","","Vi","Vi","Estar entero","1","[""Estar entero""]","1","[""Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.""]","0","[]","Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000046","Amarúami","Amarúami","amaruami","","Adj","Adj","Entero","1","[""Entero""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000047","Amí","Amí","ami","","Vt","Vt","Buscar","1","[""Buscar""]","1","[""Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.""]","0","[]","Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.","SRC-02","DICCIONARIO raramuri.pdf","5","5","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
