record_id,headword,headword_raw,headword_normalized,homonym_number,classification,classification_family,translation_raw,senses,examples,variants,comments_raw,source_code,source_document,page_start,page_end,status
RD-000001,A,A,a,,Vt,Vt,Buscar,"[""Buscar""]","[""Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.""]","[""pret.: ari; fut.: ama""]","Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000002,Abé,Abé,abe,,Adv,Adv,Hoy,"[""Hoy""]","[""1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.""]",[],"1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000003,"Abi, abiyena","Abi, abiyena","abi, abiyena",,Adv,Adv,Sí,"[""Sí""]","[""¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.""]","[""abiyena""]","¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000004,Abijí,Abijí,abiji,,Adv,Adv,"Todavía, aún","[""Todavía, aún""]","[""¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.""]",[],"¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000005,Aboni,Aboni,aboni,,Pron,Pron,"Ellos, ellas","[""Ellos, ellas""]","[""Aboni pirérachi, habitación de ellos.""]",[],"Aboni pirérachi, habitación de ellos.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000006,Acá,1Acá,aca,1,S,S,"Cara, nariz","[""Cara, nariz""]","[""Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.""]",[],"Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000007,Acá,2Acá,aca,2,Vi,Vi,1. Tener sal 2. Está dulce o sabroso,"[""Tener sal"", ""Está dulce o sabroso""]","[""¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.""]",[],"¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000008,Acá,3Acá,aca,3,S,S,Huarache,"[""Huarache""]","[""Nijeni quetasi te acá, no tengo huaraches.""]",[],"Nijeni quetasi te acá, no tengo huaraches.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000009,Acará,Acará,acara,,Vi,Vi,Poner (huaraches),"[""Poner (huaraches)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000010,Acarapu,Acarapu,acarapu,,Vi,Vi,Quitarse (huaraches),"[""Quitarse (huaraches)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
