record_id,headword,headword_raw,headword_normalized,homonym_number,classification,classification_family,translation_raw,senses,examples,variants,comments_raw,source_code,source_document,page_start,page_end,status
RD-000011,Acarapta,Acarapta,acarapta,,Vt,Vt,Quitar (huaraches),"[""Quitar (huaraches)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000012,Acá,4Acá,aca,4,Vi,Vi,"Embotarse, quitarse (el filo)","[""Embotarse, quitarse (el filo)""]","[""Ripurá acari, se embotó el hacha.""]",[],"Ripurá acari, se embotó el hacha.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000013,Acáami,Acáami,acaami,,Adj,Adj,1. Salado 2. Dulce,"[""Salado"", ""Dulce""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000014,Acáanami,Acáanami,acaanami,,Adj,Adj,Sano de pie o de brazo (se usa negativamente),"[""Sano de pie o de brazo (se usa negativamente)""]","[""Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju, Ese hombre es cojo porque tiene la pierna chueca. Que acáanami, cojo. Que acanáami biréana ronochí, cojo de una pierna.""]",[],"Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju, Ese hombre es cojo porque tiene la pierna chueca. Que acáanami, cojo. Que acanáami biréana ronochí, cojo de una pierna.",SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000015,Acabó,Acabó,acabo,,S,S,"Hoyo de la nariz, ventana de la nariz","[""Hoyo de la nariz, ventana de la nariz""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito
RD-000016,Acáchura,Acáchura,acachura,,S,S,1. Abuela paterna 2. Nieta (de la abuela paterna),"[""Abuela paterna"", ""Nieta (de la abuela paterna)""]","[""Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).""]",[],"Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).",SRC-02,DICCIONARIO raramuri.pdf,3,4,Transcrito
RD-000017,Acahui,Acahui,acahui,,Vt,Vt,Salar,"[""Salar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000018,Acajihua,Acajihua,acajihua,,S,S,Correa,"[""Correa""]","[""Acajihua ma su'rari, ya se soltó la correa del huarache.""]",[],"Acajihua ma su'rari, ya se soltó la correa del huarache.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000019,Acajihua,Acajihua,acajihua,,Vr,Vr,Ponerse correas a los huaraches,"[""Ponerse correas a los huaraches""]","[""Nijé acajíhuara, mis correas""]",[],"Nijé acajíhuara, mis correas",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000020,Acami,Acami,acami,,Adj sing,Adj,Vivo,"[""Vivo""]","[""Abijí acami ju cochí, todavía está vivo el perro.""]",[],"Abijí acami ju cochí, todavía está vivo el perro.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000021,Acaná,Acaná,acana,,Adv,Adv,Boca abajo,"[""Boca abajo""]","[""Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!""]",[],"Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000022,Acánami,Acánami,acanami,,Pp,Pp,"Aliviado (de pie, brazo, etc.), sano así","[""Aliviado (de pie, brazo, etc.), sano así""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000023,Acará,1Acará,acara,1,Vt,Vt,Herrar,"[""Herrar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000024,Acará,2Acará,acara,2,S,S,Rostro,"[""Rostro""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000025,Acha,Acha,acha,,Adv,Adv,¿Acaso…? (solo se usa en preguntas),"[""¿Acaso…? (solo se usa en preguntas)""]","[""¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?""]",[],"¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000026,Achá,Achá,acha,,Vt,Vt,"Poner (una sola cosa o persona), colocar","[""Poner (una sola cosa o persona), colocar""]","[""Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]""]","[""pl.: muchuhua""]","Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000027,Achagó,Achagó,achago,,S,S,Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas),"[""Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas)""]","[""Achagóachi, lugar donde hay esa mata.""]",[],"Achagóachi, lugar donde hay esa mata.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000028,Achapa,Achapa,achapa,,Vt,Vt,Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.,"[""Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000029,'Aché,'Aché,'ache,,Vi,Vi,"Atiesarse (de frío), morirse (de frío)","[""Atiesarse (de frío), morirse (de frío)""]","[""Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.""]",[],"Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000030,Achí,Achí,achi,,Vt,Vt,"Reír, sonreír","[""Reír, sonreír""]","[""Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.""]",[],"Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000031,Achíami,Achíami,achiami,,Adj,Adj,Risueño,"[""Risueño""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000032,Achigó yiri ju,Achigó yiri ju,achigo yiri ju,,,Sin clasificar,Es igual,"[""Es igual""]","[""Véase néchigo""]",[],Véase néchigo,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000033,Achigórigá,Achigórigá,achigoriga,,Adv,Adv,"De la misma manera, así también","[""De la misma manera, así también""]","[""Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.""]",[],"Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000034,A'huí,A'huí,a'hui,,Vi,Vi,"Brotar, nacer o germinar (semillas)","[""Brotar, nacer o germinar (semillas)""]","[""[pret.: a'huiri, fut.: a'huimea]""]","[""pret.: a'huiri, fut.: a'huimea""]","[pret.: a'huiri, fut.: a'huimea]",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000035,Ahuínari,Ahuínari,ahuinari,,Adv pl,Adv,Solos,"[""Solos""]","[""[sing.: bi'neri]""]","[""sing.: bi'neri""]",[sing.: bi'neri],SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000036,A'huínari,A'huínari,a'huinari,,Adv,Adv,Aparte,"[""Aparte""]","[""Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.""]",[],"Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.",SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000037,Ajó,1Ajó,ajo,1,Vt,Vt,Desgranar maíz,"[""Desgranar maíz""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito
RD-000038,Ajó,2Ajó,ajo,2,S,S,"Mosquito, zancudo","[""Mosquito, zancudo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000039,A'lara,A'lara,a'lara,,Vt,Vt,"Mejorar, arreglar, preparar","[""Mejorar, arreglar, preparar""]","[""Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara""]","[""véase ca'rara""]","Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000040,Alimuri,Alimuri,alimuri,,S,S,Decalitro,"[""Decalitro""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000041,Amá,Amá,ama,,S,S,Hígado,"[""Hígado""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000042,Amaré,Amaré,amare,,Vi,Vi,Tener hígado,"[""Tener hígado""]","[""Huáasi amará, hígado de vaca""]",[],"Huáasi amará, hígado de vaca",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000043,Amachí,Amachí,amachi,,Vt,Vt,Rezar,"[""Rezar""]","[""Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.""]",[],"Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000044,Amachícarahuami,Amachícarahuami,amachicarahuami,,Adj,Adj,Perteneciente a la acción de rezar,"[""Perteneciente a la acción de rezar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000045,Amarú,Amarú,amaru,,Vi,Vi,Estar entero,"[""Estar entero""]","[""Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.""]",[],"Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000046,Amarúami,Amarúami,amaruami,,Adj,Adj,Entero,"[""Entero""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000047,Amí,Amí,ami,,Vt,Vt,Buscar,"[""Buscar""]","[""Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.""]",[],"Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000048,Amígohua,Amígohua,amigohua,,S,S,Amigo,"[""Amigo""]","[""Nijé amígohuara, mis amigos""]",[],"Nijé amígohuara, mis amigos",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000049,"Amóo, amoque","Amóo, amoque","amoo, amoque",,S,S,"Panal, miel de abeja","[""Panal, miel de abeja""]","[""Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.""]","[""amoque""]","Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000050,Aná,1Aná,ana,1,Adv,Adv,De otro modo,"[""De otro modo""]","[""Aná cho niráa ra'ichari, habló de otro modo.""]",[],"Aná cho niráa ra'ichari, habló de otro modo.",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000051,Aná,2Aná,ana,2,S,S,1. Ala 2. Aleta,"[""Ala"", ""Aleta""]","[""Churuguí anará, alas de pájaro Rochí anará, aletas de pez""]",[],"Churuguí anará, alas de pájaro Rochí anará, aletas de pez",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000052,A’nabáa,A’nabáa,a'nabaa,,Vi,Vi,Juntarse,"[""Juntarse""]","[""Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad""]",[],"Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000053,Anacha,Anacha,anacha,,Vi,Vi,Aguantar,"[""Aguantar""]","[""Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]""]","[""pret.: anáchari; fut.: anachama""]","Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]",SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000054,Anachapa,Anachapa,anachapa,,Vi,Vi,Aletear,"[""Aletear""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000055,A’nagú,A’nagú,a'nagu,,Adv,Adv,"Mutuamente, unos a otros","[""Mutuamente, unos a otros""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000056,Anahué,Anahué,anahue,,Vi,Vi,Aletear,"[""Aletear""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito
RD-000057,Anahui,Anahui,anahui,,Vt,Vt,"Medir, pesar","[""Medir, pesar""]","[""Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]""]","[""pret.: anpahuari; fut.: anáhuima""]","Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]",SRC-02,DICCIONARIO raramuri.pdf,5,6,Transcrito
RD-000058,A’nahuí,A’nahuí,a'nahui,,Adv,Adv,1. Al mismo tiempo 2. igual,"[""Al mismo tiempo"", ""igual""]","[""A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales""]",[],"A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000059,A'najata,A'najata,a'najata,,Vt,Vt,Perseguir,"[""Perseguir""]","[""Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]""]","[""pret.: a'najátari; fut.: a’najátama""]","Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000060,A'namótami,A'namótami,a'namotami,,Adv,Adv,Uno encima del otro,"[""Uno encima del otro""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000061,A'namótana,A'namótana,a'namotana,,Vt,Vt,Poner (uno encima del otro),"[""Poner (uno encima del otro)""]","[""Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.""]",[],"Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000062,Anara,Anara,anara,,Vt,Vt,Igualar,"[""Igualar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000063,A'nayáhuari,A'nayáhuari,a'nayahuari,,S pl,S,"Los que vivieron hace mucho, los espíritus de los antepasados","[""Los que vivieron hace mucho, los espíritus de los antepasados""]","[""Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.""]",[],"Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000064,Ané,Ané,ane,,Vt,Vt,Decir,"[""Decir""]","[""Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.""]",[],"Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000065,Ané,Ané,ane,,Vi,Vi,Sonar fuerte,"[""Sonar fuerte""]","[""Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho""]",[],"Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000066,Anérami,Anérami,anerami,,Pp,Pp,Le fue dicho,"[""Le fue dicho""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000067,Anérati,Anérati,anerati,,Vi,Vi,Fue dicho fue avisado (pasivo),"[""Fue dicho fue avisado (pasivo)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000068,Anéchani,Anéchani,anechani,,Vi,Vi,Rezumbar,"[""Rezumbar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000069,Aní,Aní,ani,,Vi,Vi,Decir,"[""Decir""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000070,Anihuami,Anihuami,anihuami,,Pp,Pp,Querer decir,"[""Querer decir""]","[""¿Churigá anihuami ju?, ¿Qué quiere decir?""]",[],"¿Churigá anihuami ju?, ¿Qué quiere decir?",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000071,Anirá,Anirá,anira,,Vi,Vi,Decir,"[""Decir""]","[""¿Churigá anirá?, ¿Cómo dirá?""]",[],"¿Churigá anirá?, ¿Cómo dirá?",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000072,Aniríhuachi,Aniríhuachi,anirihuachi,,Adv,Adv,En el tiempo en que se dice,"[""En el tiempo en que se dice""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000073,Aniríhuami,Aniríhuami,anirihuami,,Pp,Pp,Nombrado,"[""Nombrado""]","[""Samichí aniríhuachi, lugar nombrado Samachique""]",[],"Samichí aniríhuachi, lugar nombrado Samachique",SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito
RD-000074,Aoréachi,Aoréachi,aoreachi,,S,S,Tascatal,"[""Tascatal""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000075,Aorí,Aorí,aori,,S,S,Táscate (un árbol de la familia del cedro),"[""Táscate (un árbol de la familia del cedro)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000076,Apabera,Apabera,apabera,,Vi,Vi,Andar acarreando (en el lomo),"[""Andar acarreando (en el lomo)""]","[""[fut.: apabérama]""]","[""fut.: apabérama""]",[fut.: apabérama],SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000077,Apanérohua,Apanérohua,apanerohua,,S,S,Compañero,"[""Compañero""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000078,Aparocha,Aparocha,aparocha,,S,S,Abuelo materno,"[""Abuelo materno""]","[""Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.""]",[],"Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.",SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000079,Aparocha,Aparocha,aparocha,,S,S,Nieto (del abuelo materno),"[""Nieto (del abuelo materno)""]","[""Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.""]",[],"Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.",SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000080,Aparú,Aparú,aparu,,Vi,Vi,Estar bravo,"[""Estar bravo""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000081,Aparúami,Aparúami,aparuami,,Adj,Adj,"Bravo, cruel, feroz, malvado, valiente, violento","[""Bravo, cruel, feroz, malvado, valiente, violento""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000082,Apé,Apé,ape,,Vt,Vt,Echar a la espalda,"[""Echar a la espalda""]","[""Nijé apema, yo voy a traerlo en la espalda. Echi rijoy apema cuco, ese hombre se va a echar un tercio de leña en la espalda.""]",[],"Nijé apema, yo voy a traerlo en la espalda. Echi rijoy apema cuco, ese hombre se va a echar un tercio de leña en la espalda.",SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000083,Apera,Apera,apera,,Vt sing,Vt,Llevar en la espalda,"[""Llevar en la espalda""]","[""Ripópachi apérama sunú, va a llevar el (saco de) maíz en la espalda. [fut.: aperama; pl.: pabera]""]","[""fut.: aperama; pl.: pabera""]","Ripópachi apérama sunú, va a llevar el (saco de) maíz en la espalda. [fut.: aperama; pl.: pabera]",SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000084,Apurá,Apurá,apura,,Vi,Vi,Hacer olas (el agua),"[""Hacer olas (el agua)""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000085,Apurí,Apurí,apuri,,S,S,Un árbol de la barranca,"[""Un árbol de la barranca""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000086,Aqué,1Aqué,aque,1,Vi,Vi,Tener huaraches,"[""Tener huaraches""]","[""Véase acá""]",[],Véase acá,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000087,Aqué,2Aqué,aque,2,Vi,Vi,Nadar,"[""Nadar""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000088,Aquibi,Aquibi,aquibi,,Vi sing,Vi,Desaparecer,"[""Desaparecer""]","[""[pl.: mo'huibi]""]","[""pl.: mo'huibi""]",[pl.: mo'huibi],SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
RD-000089,Arara,Arara,arara,,S,S,Arado,"[""Arado""]",[],[],,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito
