term_id,term_es,term_es_normalized,grammatical_label,equivalents_rrm,source_code,source_document,source_section,pdf_page,printed_page,extraction_status,validation_status,raw_entry
TERM-000011,abofetear,abofetear,vt,cho'ná,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abofetear ví cho'ná
TERM-000012,abollarse,abollarse,vr,michú,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abollarse vr michú
TERM-000013,abono,abono,m,"ripuca, huitá (estiércol)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"abono m ripuca, huitá (estiércol)"
TERM-000014,aborrecer,aborrecer,vt,quichí,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,aborrecer v£ quichí
TERM-000015,abotonar,abotonar,vi,cojita (flor),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abotonar vi cojita (flor)
TERM-000016,abrir,abrir,vt,"riná (la boca) 2. vt irapa (puerta, caja) 3. vi irápata",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"abrir 1. vt riná (la boca) 2. vt irapa (puerta, caja) 3. vi irápata"
TERM-000017,absorber,absorber,vt,chunú,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,absorber vt chunú
TERM-000018,abuela,abuela,f,1. usú (matemna) 2. acáchura (patea),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abuela f 1. usú (matemna) 2. acáchura (patea)
TERM-000019,abuelo,abuelo,m,1. aparocha (materno) 2. ochícari (paterno),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abuelo m 1. aparocha (materno) 2. ochícari (paterno)
TERM-000020,acá,aca,adv,"jeocuá (en cierta parte), jami, huaquiná más acá en tiempo huaquinánocuá para acá huaquiná por acá quiná",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acá adv jeocuá (en cierta parte), jami, huaquiná más acá en tiempo huaquinánocuá para acá huaquiná por acá quiná"
TERM-000021,acabar,acabar,vt,"subué, suhuaba, suní 2. vt suhuá (completamente) 3. vi suhuí acabará sunima habrán acabado suhuírama",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acabar 1. vt subué, suhuaba, suní 2. vt suhuá (completamente) 3. vi suhuí acabará sunima habrán acabado suhuírama"
TERM-000022,acallar,acallar,vt,ra'ama,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,acallar ví ra'ama
TERM-000023,acarrear,acarrear,vt,"1. apera (sing.), pabera (pl., en las espaldas) 2. tapa (pl., con las manos)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acarrear vt 1. apera (sing.), pabera (pl., en las espaldas) 2. tapa (pl., con las manos)"
TERM-000024,acaso,acaso,adv,1. siné cáachi 2. ¿acha? (sólo se usa en preguntas),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,acaso adv 1. siné cáachi 2. ¿acha? (sólo se usa en preguntas)
TERM-000025,aceptar,aceptar,vt,naré,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,aceptar ví naré
TERM-000026,acercar,acercar,vt,"murubehua 2. vr murubéana, nahuíi",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acercar 1. ví murubehua 2. vr murubéana, nahuíi"
TERM-000027,aclarar,aclarar,vi,cabuí,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,aclarar vi cabuí
TERM-000028,aconsejar,aconsejar,vt,ruyé dar consejo gará ruyé,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,aconsejar ví ruyé dar consejo gará ruyé
TERM-000029,acontecer,acontecer,vt,"iquí, rihuéari después de lo acontecido quinana raramente acontecerá siné cáachi iquimea",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acontecer vt iquí, rihuéari después de lo acontecido quinana raramente acontecerá siné cáachi iquimea"
TERM-000030,acordarse,acordarse,vr,1. nehuará 2. gará aní ponerse de acuerdo nacaréhua (pl.),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,acordarse vr 1. nehuará 2. gará aní ponerse de acuerdo nacaréhua (pl.)
TERM-000031,acornear,acornear,vt,"riquichó, chi'ibú",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acornear vt riquichó, chi'ibú"
TERM-000032,acostarse,acostarse,vr,"bu'huiba estar acostado bu'huí (sing. ), bití (pl.) se acostarán bitibama",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"acostarse vr bu'huiba estar acostado bu'huí (sing. ), bití (pl.) se acostarán bitibama"
TERM-000033,ponlo acostado,ponlo acostado,imper,¡riqué!,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,ponlo acostado imper ¡riqué!
TERM-000034,acostumbrar,acostumbrar,vt,gará biné (aprende),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,acostumbrar vt gará biné (aprende)
TERM-000035,acusar,acusar,vt,hui'nijí le acusará hui'nijima cuando lo acusan bui'nijíhuachi adelantar,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,acusar v£ hui'nijí le acusará hui'nijima cuando lo acusan bui'nijíhuachi adelantar
TERM-000036,adelantar,adelantar,vi,nitoba,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adelantar vi nitoba
TERM-000037,adelante,adelante,adv,bachá más adelante huaminana (de un tiempo pasado) por adelante bacháami va adelante bachahuara,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adelante adv bachá más adelante huaminana (de un tiempo pasado) por adelante bacháami va adelante bachahuara
TERM-000038,adentro,adentro,adv,"pachá por adentro pachana, pachámana puesto adentro mo'huáami",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"adentro adv pachá por adentro pachana, pachámana puesto adentro mo'huáami"
TERM-000039,adiós,adios,interj,¡ariósibá!,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adiós interj ¡ariósibá!
TERM-000040,admirar,admirar,vt,"no', ritú admirándolo inoya",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"admirar ví no', ritú admirándolo inoya"
TERM-000041,adónde,adonde,adv,¿cumi?,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adónde adv ¿cumi?
TERM-000042,adormecer,adormecer,vt,cochírata,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adormecer ví cochírata
TERM-000043,adornar,adornar,vr,ba'yórata,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,adornar vr ba'yórata
TERM-000044,afilar,afilar,vt,"chutá, orara",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"afilar vt chutá, orara"
TERM-000045,afinar,afinar,vt,teca (el violín),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,afinar ví teca (el violín)
TERM-000046,afirmar,afirmar,vt,bichíhuaga aní,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,afirmar ví bichíhuaga aní
TERM-000047,aflojado,aflojado,adj,si'rúami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aflojado adj si'rúami
TERM-000048,aflojar,aflojar,vt,si'runá 2. vi su'rá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aflojar 1. v£ si'runá 2. vi su'rá
TERM-000049,afuera,afuera,adv,"machí, machíami, machiná, machímanomí los echa afuera machí a'huá por afuera machímana",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"afuera adv machí, machíami, machiná, machímanomí los echa afuera machí a'huá por afuera machímana"
TERM-000050,agachar,agachar,vt,"bunahua 2. vi buná, ra'oa atí",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"agachar 1. vt bunahua 2. vi buná, ra'oa atí"
TERM-000051,agarrar,agarrar,vt,"1. chapí, 'huisa 2. macó (entre las manos) 3. 'machó (alguna cosa para no caerse)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"agarrar ví 1. chapí, 'huisa 2. macó (entre las manos) 3. 'machó (alguna cosa para no caerse)"
TERM-000052,agarrado,agarrado,pp,usá lo quería agarrar chapináari,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agarrado pp usá lo quería agarrar chapináari
TERM-000053,agarrotar,agarrotar,vt,cusébana,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agarrotar vt cusébana
TERM-000054,agotar,agotar,vt,"1. ma huaquicheri (pret., el agua) 2. ma suhuábari (/a mercancía)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"agotar ví 1. ma huaquicheri (pret., el agua) 2. ma suhuábari (/a mercancía)"
TERM-000055,agradar,agradar,vi,gará nirani (me parece bien),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agradar vi gará nirani (me parece bien)
TERM-000056,agradecer,agradecer,vt,natétara 'ya,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agradecer ví natétara 'ya
TERM-000057,agrandar,agrandar,vt,huarubé nihuá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agrandar vt huarubé nihuá
TERM-000058,agrio,agrio,adj,chocóami está agrio chocó,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agrio adj chocóami está agrio chocó
TERM-000059,agua,agua,f,ba'huí hay agua ba'hué DICCIONARIO TARAHUMARA 82 tira agua huiró toma agua ba'huí bají,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agua f ba'huí hay agua ba'hué DICCIONARIO TARAHUMARA 82 tira agua huiró toma agua ba'huí bají
TERM-000060,aguaje,aguaje,m,"bajichi, payéhuachi",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"aguaje m bajichi, payéhuachi"
TERM-000061,aguantar,aguantar,vi,1. anacha 2. rojorá (en la carrera),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aguantar vi 1. anacha 2. rojorá (en la carrera)
TERM-000062,agudo,agudo,adj,chupéami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agudo adj chupéami
TERM-000063,aguijada,aguijada,f,huéchara,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aguijada f huéchara
TERM-000064,águila,aguila,f,a'hué,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,águila f a'hué
TERM-000065,aguililla,aguililla,m,cusá (gavilán blanco),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aguililla m cusá (gavilán blanco)
TERM-000066,aguja,aguja,f,huichá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aguja f huichá
TERM-000067,agujerear,agujerear,vi,ihuará,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agujerear vi ihuará
TERM-000068,agujero,agujero,m,ihuáachi tiene agujero ihuá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agujero m ihuáachi tiene agujero ihuá
TERM-000069,agusanarse,agusanarse,vr,1. cuchíhua (animal) 2. muteta (maíz),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,agusanarse vr 1. cuchíhua (animal) 2. muteta (maíz)
TERM-000070,ahí adv echo'ná,ahi adv echo'na,remisión,Véase allá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ahí adv echo'ná Véase allá
TERM-000071,ahogar,ahogar,vt,"si'rina 2. vr cuseba, si'rí (en el agua) 3. vr cosó (comiendo) 4. vr coché (por alguna cosa en la garganta) estar ahogándose cosonó",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"ahogar 1. vt si'rina 2. vr cuseba, si'rí (en el agua) 3. vr cosó (comiendo) 4. vr coché (por alguna cosa en la garganta) estar ahogándose cosonó"
TERM-000072,ahondar,ahondar,vt,ri'ré jota,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ahondar vt ri'ré jota
TERM-000073,ahora,ahora,adv,jipi desde ahora jipi jonsa,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ahora adv jipi desde ahora jipi jonsa
TERM-000074,ahorcar,ahorcar,vt,cusébana,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ahorcar ví cusébana
TERM-000075,ahumar,ahumar,vt,"morisota, morisóbana 2. vr morisó",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"ahumar 1. vt morisota, morisóbana 2. vr morisó"
TERM-000076,aire,aire,m,hace aire icá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,aire m hace aire icá
TERM-000077,ajeno,ajeno,adj,persona ajena si'nú rarámuri,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ajeno adj persona ajena si'nú rarámuri
TERM-000078,ala,ala,f,aná alas de pájaro churuguí anará,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,ala f aná alas de pájaro churuguí anará
TERM-000079,alabar,alabar,vi,garabé ané,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alabar vi garabé ané
TERM-000080,alabeado,alabeado,adj,comíami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alabeado adj comíami
TERM-000081,alacrán,alacran,m,machiri,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alacrán m machiri
TERM-000082,alamillo,alamillo,m,huasaró (variedad de álamo),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alamillo m huasaró (variedad de álamo)
TERM-000083,alargar,alargar,vt,hui'rira,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alargar ví hui'rira
TERM-000084,alcanzar,alcanzar,vt,"náapa, nachihuí, seba no le alcanza quetasi nachihuí",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,"alcanzar v£ náapa, nachihuí, seba no le alcanza quetasi nachihuí"
TERM-000085,alegrar,alegrar,vr,canira está alegre hue canira,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alegrar vr canira está alegre hue canira
TERM-000086,alejar,alejar,vt,micabéanta 2. vr micabéana,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,92,82,OCR estructurado,Pendiente de cotejo,alejar 1. vt micabéanta 2. vr micabéana
TERM-000087,aleta,aleta,f,aná aletas de pez rochí anará,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,aleta f aná aletas de pez rochí anará
TERM-000088,aletear,aletear,vi,"anachapa, chi'ró, anahué",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,"aletear vi anachapa, chi'ró, anahué"
TERM-000089,algo,algo,pron,pe táa por algo echijiti,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,algo pron pe táa por algo echijiti
TERM-000090,alguien,alguien,pron,birétari,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alguien pron birétari
TERM-000091,algunos,algunos,pron,jaré,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,algunos pron jaré
TERM-000092,alimento,alimento,m,co'huáami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alimento m co'huáami
TERM-000093,alisar,alisar,vt,ri'huana lo está alisando ri'huaní,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alisar vt ri'huana lo está alisando ri'huaní
TERM-000094,aliviar,aliviar,vt,"sa'huí, cu sa'huá (sanar) aliviado (del pie, brazo, etc.) acánami",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,"aliviar ví sa'huí, cu sa'huá (sanar) aliviado (del pie, brazo, etc.) acánami"
TERM-000095,alma,alma,f,arihuá almas de los antepasados 'nayáhuari,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alma f arihuá almas de los antepasados 'nayáhuari
TERM-000096,almohada,almohada,f,mosobera poner almohada mosobé,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,almohada f mosobera poner almohada mosobé
TERM-000097,almud,almud,m,arimuri,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,almud m arimuri
TERM-000098,alrededor,alrededor,adv,norigá ir alrededor norera,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alrededor adv norigá ir alrededor norera
TERM-000099,alto,alto,adj,ripá muy alto ripabé estar muy alto ripáami ju,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alto adj ripá muy alto ripabé estar muy alto ripáami ju
TERM-000100,alumbrar,alumbrar,vt,rajá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alumbrar vt rajá
TERM-000101,alzado,alzado,adj,catehuárami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,alzado adj catehuárami
TERM-000102,alzar,alzar,vt,"carihué, catehua, nuté",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,"alzar vt carihué, catehua, nuté"
TERM-000103,allá,alla,adv,"1. echo'ná, huamí 2. ripá yé (arriba, al otro lado del cerro) más allá minana, minánomí para allá echomí poco más allá 'nabé por allá echo'ná, ye, huaminá, corí yé (al otro lado del cerro)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,"allá adv 1. echo'ná, huamí 2. ripá yé (arriba, al otro lado del cerro) más allá minana, minánomí para allá echomí poco más allá 'nabé por allá echo'ná, ye, huaminá, corí yé (al otro lado del cerro)"
TERM-000104,allí,alli,adv,1. echo'ná 2. echocuá (por atrás),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,allí adv 1. echo'ná 2. echocuá (por atrás)
TERM-000105,amable,amable,adj,garéami,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,amable adj garéami
TERM-000106,amamantar,amamantar,vt,chi'íra,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,93,83,OCR estructurado,Pendiente de cotejo,amamantar ví chi'íra
