term_id,term_es,term_es_normalized,grammatical_label,equivalents_rrm,source_code,source_document,source_section,pdf_page,printed_page,extraction_status,validation_status,raw_entry
TERM-000001,a pesar de,a pesar de,locución,arigá,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,a pesar de arigá
TERM-000002,abajo,abajo,adv,"1. ri'ré, tugá ri'reri 2. tu (por el arroyo) de abajo ri'reca lo de abajo ri'reti",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"abajo adv 1. ri'ré, tugá ri'reri 2. tu (por el arroyo) de abajo ri'reca lo de abajo ri'reti"
TERM-000003,más abajo,mas abajo,adv,"rirí, tugá ri'reri por abajo ri'rena por el arroyo abajo tasina por el lado de abajo ri'rinomí por el río abajo tuna",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"más abajo adv rirí, tugá ri'reri por abajo ri'rena por el arroyo abajo tasina por el lado de abajo ri'rinomí por el río abajo tuna"
TERM-000004,abandonar,abandonar,vt,huaminá arihué,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abandonar ví huaminá arihué
TERM-000005,abanicar,abanicar,vt,lohué,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abanicar vt lohué
TERM-000006,abanico,abanico,m,1. lohuera 2. masábari (lo que lleva el bailador matachin),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abanico m 1. lohuera 2. masábari (lo que lleva el bailador matachin)
TERM-000007,abeja,abeja,f,si'orí,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abeja f si'orí
TERM-000008,abejorro,abejorro,m,huicó,SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abejorro m huicó
TERM-000009,abertura,abertura,f,1. ihuáachi 2. yéachi (de la puerta),SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,abertura f 1. ihuáachi 2. yéachi (de la puerta)
TERM-000010,abierto,abierto,adj,"irápatami, yéachi (puerta, ventanta) estar abierto iyéata (puerta, ventana)",SRC-01,"Diccionario tarahumara de Samachique, edición 1993",ESPAÑOL - TARAHUMARA,91,81,OCR estructurado,Pendiente de cotejo,"abierto adj irápatami, yéachi (puerta, ventanta) estar abierto iyéata (puerta, ventana)"
