headword_raw	headword_normalized	count
2Na’í	na'i	1
2Nacú	nacu	1
2Nahuá	nahua	1
2Napihua	napihua	1
2Napó	napo	1
2Nasó	naso	1
2No	no	1
2Nóchari	nochari	1
2Noré	nore	1
2Noreba	noreba	1
2Norí	nori	1
2O’huiqué	o'huique	1
2O’rí	o'ri	1
2O’rina	o'rina	1
2O’yó: pe o’yó	o'yo: pe o'yo	1
2Ocó	oco	1
2Ocuá	ocua	1
2Omée	omee	1
2Onó	ono	1
2Orá	ora	1
2Orí	ori	1
2Osá	osa	1
2Pa	pa	1
2Pe	pe	1
2Quirá	quira	1
2Quirí	quiri	1
2Racó	raco	1
2Rahué	rahue	1
2Rapirá	rapira	1
2Rará	rara	1
2Ratá	rata	1
2Ri’ná	ri'na	1
2Ricá	rica	1
2Rihuá	rihua	1
2Rihuí	rihui	1
2Rihuira	rihuira	1
2Ripá	ripa	1
2Ripú	ripu	1
2Rité	rite	1
2Ritú	ritu	1
2Ro’huá	ro'hua	1
2Rohué	rohue	1
2Rojuá	rojua	1
2Roné	rone	1
2Ronó	rono	1
2Ru	ru	1
2Sáata	saata	1
2Si	si	1
2Sicá	sica	1
2Sihuá	sihua	1
2Simí	simi	1
2Siri	siri	1
2Sitá	sita	1
2Sotóchi	sotochi	1
2Suhuaba	suhuaba	1
2Suhué	suhue	1
2Ta	ta	1
2Tabachi	tabachi	1
2Tarí	tari	1
2To	to	1
2Tu	tu	1
2Uchú	uchu	1
2Uchucha	uchucha	1
2Umuri	umuri	1
2Usá	usa	1
2Yiri	yiri	1
2Yora	yora	1
3’Me	'me	1
3Acá	aca	1
3Chi’rá	chi'ra	1
3Cochí	cochi	1
3Cu	cu	1
3Huichí	huichi	1
3Jubá	juba	1
3O’rí	o'ri	1
3Orá	ora	1
3Orí	ori	1
3Rapirá, rapirú	rapira, rapiru	1
3Ri’ná	ri'na	1
3Ro’huá	ro'hua	1
3Si	si	1
3Ta	ta	1
3Tabachi	tabachi	1
4Acá	aca	1
A	a	1
A'huí	a'hui	1
A'huínari	a'huinari	1
A'lara	a'lara	1
A’nabáa	a'nabaa	1
A’nagú	a'nagu	1
A’nahuí	a'nahui	1
A'najata	a'najata	1
A'namótami	a'namotami	1
A'namótana	a'namotana	1
A'nayáhuari	a'nayahuari	1
A'rínaromí	a'rinaromi	1
A’yapi	a'yapi	1
Abé	abe	1
Abi, abiyena	abi, abiyena	1
Abijí	abiji	1
Aboni	aboni	1
Acáami	acaami	1
Acáanami	acaanami	1
Acabó	acabo	1
Acáchura	acachura	1
Acahui	acahui	1
Acami	acami	1
Acaná	acana	1
Acánami	acanami	1
Acará	acara	1
Acarapta	acarapta	1
Acarapu	acarapu	1
Acha	acha	1
Achá	acha	1
Achagó	achago	1
Achapa	achapa	1
Achí	achi	1
Achíami	achiami	1
Achigó yiri ju	achigo yiri ju	1
Achigórigá	achigoriga	1
Ahuínari	ahuinari	1
Alimuri	alimuri	1
Amá	ama	1
Amachí	amachi	1
Amachícarahuami	amachicarahuami	1
Amaré	amare	1
Amarú	amaru	1
Amarúami	amaruami	1
Amí	ami	1
Amígohua	amigohua	1
Amóo, amoque	amoo, amoque	1
Anacha	anacha	1
Anachapa	anachapa	1
Anahué	anahue	1
Anahui	anahui	1
Anara	anara	1
Anéchani	anechani	1
Anérami	anerami	1
Anérati	anerati	1
Aní	ani	1
Anihuami	anihuami	1
Anirá	anira	1
Aniríhuachi	anirihuachi	1
Aniríhuami	anirihuami	1
Aoréachi	aoreachi	1
Aorí	aori	1
Apabera	apabera	1
Apanérohua	apanerohua	1
Aparú	aparu	1
