codepoint	character	headword_raw_count	headword_count	headword_normalized_count
U+0027	'	59	59	383
U+002C	,	54	54	54
U+002E	.	1	1	1
U+0031	1	134	0	0
U+0032	2	133	0	0
U+0033	3	16	0	0
U+0034	4	1	0	0
U+003A	:	7	7	7
U+003F	?	5	5	5
U+0041	A	124	124	0
U+0042	B	228	228	0
U+0043	C	467	467	0
U+0045	E	13	13	0
U+0047	G	11	11	0
U+0048	H	187	187	0
U+0049	I	79	79	0
U+004A	J	62	62	0
U+004C	L	29	29	0
U+004D	M	209	209	0
U+004E	N	267	267	0
U+004F	O	96	96	0
U+0050	P	70	70	0
U+0051	Q	34	34	0
U+0052	R	317	317	0
U+0053	S	218	218	0
U+0054	T	81	81	0
U+0055	U	42	42	0
U+0059	Y	28	28	0
U+005B	[	1	1	1
U+005D	]	1	1	1
U+0061	a	2438	2438	3092
U+0062	b	276	276	504
U+0063	c	772	772	1239
U+0064	d	2	2	2
U+0065	e	243	243	634
U+0067	g	101	101	112
U+0068	h	1129	1129	1316
U+0069	i	1752	1752	2319
U+006A	j	144	144	206
U+006C	l	20	20	49
U+006D	m	494	494	703
U+006E	n	452	452	719
U+006F	o	689	689	995
U+0070	p	264	264	334
U+0071	q	79	79	113
U+0072	r	1045	1045	1362
U+0073	s	334	334	552
U+0074	t	315	315	396
U+0075	u	1373	1373	1597
U+0076	v	1	1	1
U+0079	y	153	153	181
U+00B4	´	9	9	9
U+00BF	¿	5	5	5
U+00C9	É	2	2	0
U+00D3	Ó	1	1	0
U+00DA	Ú	1	1	0
U+00E1	á	530	530	0
U+00E9	é	376	376	0
U+00ED	í	488	488	0
U+00F3	ó	209	209	0
U+00FA	ú	181	181	0
U+2018	‘	50	50	0
U+2019	’	274	274	0
